Patient_ID	Sample_ID	Sample_Alias	Cluster_ID	postDP_ccf_mean	postDP_ccf_CI_low	postDP_ccf_CI_high	postDP_ccf_0.0	postDP_ccf_0.01	postDP_ccf_0.02	postDP_ccf_0.03	postDP_ccf_0.04	postDP_ccf_0.05	postDP_ccf_0.06	postDP_ccf_0.07	postDP_ccf_0.08	postDP_ccf_0.09	postDP_ccf_0.1	postDP_ccf_0.11	postDP_ccf_0.12	postDP_ccf_0.13	postDP_ccf_0.14	postDP_ccf_0.15	postDP_ccf_0.16	postDP_ccf_0.17	postDP_ccf_0.18	postDP_ccf_0.19	postDP_ccf_0.2	postDP_ccf_0.21	postDP_ccf_0.22	postDP_ccf_0.23	postDP_ccf_0.24	postDP_ccf_0.25	postDP_ccf_0.26	postDP_ccf_0.27	postDP_ccf_0.28	postDP_ccf_0.29	postDP_ccf_0.3	postDP_ccf_0.31	postDP_ccf_0.32	postDP_ccf_0.33	postDP_ccf_0.34	postDP_ccf_0.35	postDP_ccf_0.36	postDP_ccf_0.37	postDP_ccf_0.38	postDP_ccf_0.39	postDP_ccf_0.4	postDP_ccf_0.41	postDP_ccf_0.42	postDP_ccf_0.43	postDP_ccf_0.44	postDP_ccf_0.45	postDP_ccf_0.46	postDP_ccf_0.47	postDP_ccf_0.48	postDP_ccf_0.49	postDP_ccf_0.5	postDP_ccf_0.51	postDP_ccf_0.52	postDP_ccf_0.53	postDP_ccf_0.54	postDP_ccf_0.55	postDP_ccf_0.56	postDP_ccf_0.57	postDP_ccf_0.58	postDP_ccf_0.59	postDP_ccf_0.6	postDP_ccf_0.61	postDP_ccf_0.62	postDP_ccf_0.63	postDP_ccf_0.64	postDP_ccf_0.65	postDP_ccf_0.66	postDP_ccf_0.67	postDP_ccf_0.68	postDP_ccf_0.69	postDP_ccf_0.7	postDP_ccf_0.71	postDP_ccf_0.72	postDP_ccf_0.73	postDP_ccf_0.74	postDP_ccf_0.75	postDP_ccf_0.76	postDP_ccf_0.77	postDP_ccf_0.78	postDP_ccf_0.79	postDP_ccf_0.8	postDP_ccf_0.81	postDP_ccf_0.82	postDP_ccf_0.83	postDP_ccf_0.84	postDP_ccf_0.85	postDP_ccf_0.86	postDP_ccf_0.87	postDP_ccf_0.88	postDP_ccf_0.89	postDP_ccf_0.9	postDP_ccf_0.91	postDP_ccf_0.92	postDP_ccf_0.93	postDP_ccf_0.94	postDP_ccf_0.95	postDP_ccf_0.96	postDP_ccf_0.97	postDP_ccf_0.98	postDP_ccf_0.99	postDP_ccf_1.0
pt9	sample_01		1	0.94	0.87	1.0	1e-40	1.01694e-40	6.7073425e-36	4.737251e-32	2.5064266e-29	3.2052093e-27	1.669274e-25	4.6767067e-24	8.322391e-23	1.0470967e-21	1.0021551e-20	7.68696e-20	4.911134e-19	2.6910603e-18	1.29376904e-17	5.556649e-17	2.1632374e-16	7.724896e-16	2.5553824e-15	7.8954304e-15	2.2944617e-14	6.3090206e-14	1.6498365e-13	4.1214124e-13	9.873224e-13	2.275918e-12	5.0633677e-12	1.0900876e-11	2.2764141e-11	4.620912e-11	9.135203e-11	1.7618375e-10	3.320052e-10	6.1216354e-10	1.1058283e-09	1.9593678e-09	3.4089078e-09	5.8292544e-09	9.806224e-09	1.6242097e-08	2.6507479e-08	4.265703e-08	6.7732095e-08	1.0618099e-07	1.6443563e-07	2.5169368e-07	3.8097107e-07	5.7050096e-07	8.4558087e-07	1.2409797e-06	1.8040623e-06	2.5987963e-06	3.71085e-06	5.2540504e-06	7.3784427e-06	1.028036e-05	1.4214863e-05	1.9510891e-05	2.6589907e-05	3.598822e-05	4.8384052e-05	6.462953e-05	8.578908e-05	0.00011318415	0.00014844611	0.000193577	0.00025102095	0.0003237467	0.00041533858	0.0005301031	0.0006731909	0.00085072854	0.001069967	0.0013394564	0.001669214	0.0020709436	0.0025582376	0.003146827	0.0038548193	0.004702995	0.00571506	0.006917974	0.008342266	0.010022336	0.01199679	0.0143087935	0.017006412	0.02014291	0.023777056	0.027973529	0.032803077	0.0383428	0.04467645	0.051894505	0.06009431	0.069380164	0.07986332	0.09166182	0.10490039	0.119710125	0.13622825
pt9	sample_02		1	0.88	0.75	1.0	1e-40	4.39933e-39	1.6018022e-32	1.0639272e-28	5.291741e-26	6.359077e-24	3.1109554e-22	8.184095e-21	1.3670072e-19	1.6137425e-18	1.4485436e-17	1.0416652e-16	6.2366777e-16	3.2012086e-15	1.4410722e-14	5.792907e-14	2.1098833e-13	7.0457735e-13	2.178637e-12	6.289335e-12	1.7069337e-11	4.3813213e-11	1.0690345e-10	2.4906008e-10	5.561844e-10	1.1945686e-09	2.475017e-09	4.959903e-09	9.636514e-09	1.8190113e-08	3.3422868e-08	5.988063e-08	1.0476915e-07	1.7926428e-07	3.003446e-07	4.933067e-07	7.951455e-07	1.2590206e-06	1.9600325e-06	3.0025942e-06	4.529646e-06	6.7339797e-06	9.871904e-06	1.42795925e-05	2.0392012e-05	2.8764805e-05	4.0098857e-05	5.5267283e-05	7.5345284e-05	0.00010164084	0.00013572696	0.0001794746	0.00023508303	0.00030510855	0.0003924906	0.00050056935	0.0006330983	0.000794246	0.00098859	0.0012210927	0.0014970631	0.0018221141	0.002202081	0.002642951	0.0031507488	0.0037314189	0.0043907026	0.0051339758	0.0059660897	0.0068912334	0.007912714	0.009032838	0.010252711	0.011572109	0.012989337	0.014501076	0.016102346	0.017786417	0.019544788	0.02136714	0.023241572	0.025154397	0.027090568	0.029033687	0.030966207	0.03286978	0.03472545	0.036514018	0.03821629	0.039813496	0.041287467	0.042621236	0.043799043	0.044806868	0.045632597	0.04626624	0.046700157	0.046929237	0.046950925	0.04676527	0.046374995
pt9	sample_03		1	0.92	0.83	1.0	1e-40	1e-40	1e-40	1e-40	1.03106e-40	8.113489e-39	4.7514667e-36	1.02094e-33	1.0433434e-31	6.0429772e-30	2.2359657e-28	5.7564775e-27	1.098267e-25	1.6289401e-24	1.9494531e-23	1.9388414e-22	1.641036e-21	1.2052751e-20	7.8062547e-20	4.519036e-19	2.3651155e-18	1.1300306e-17	4.97049e-17	2.0273497e-16	7.7166787e-16	2.7562162e-15	9.28338e-15	2.9613583e-14	8.9815443e-14	2.5988662e-13	7.196808e-13	1.912648e-12	4.8906335e-12	1.20594515e-11	2.8736147e-11	6.6297516e-11	1.4835055e-10	3.2247616e-10	6.8196493e-10	1.4049762e-09	2.823331e-09	5.5403957e-09	1.0628509e-08	1.9951997e-08	3.6684742e-08	6.612145e-08	1.1692436e-07	2.0300173e-07	3.4628252e-07	5.807409e-07	9.581248e-07	1.5559644e-06	2.488578e-06	3.921914e-06	6.0932357e-06	9.336802e-06	1.4116703e-05	2.1068236e-05	3.104906e-05	4.5201115e-05	6.502471e-05	9.246459e-05	0.00013000856	0.00018079807	0.00024874843	0.00033867473	0.00045642388	0.0006090015	0.0008046904	0.0010531517	0.0013654998	0.0017543349	0.002233736	0.002819192	0.0035274432	0.0043762885	0.0053842515	0.006570201	0.0079528475	0.009550201	0.011378845	0.01345332	0.01578528	0.018382704	0.021249238	0.024383245	0.027777392	0.03141794	0.035284307	0.03934907	0.0435777	0.047928914	0.052355092	0.05680298	0.061214644	0.06552859	0.069681115	0.073607855	0.07724535	0.08053277	0.08341344
pt9	sample_01		2	0.12	0.09	0.15	0.0	8.951971e-26	3.1396732e-16	3.4607976e-11	5.433258e-08	8.259619e-06	0.00028551696	0.0035386411	0.020634817	0.067457944	0.13934714	0.19808245	0.20635536	0.16525929	0.10558796	0.055429097	0.024480721	0.009274269	0.0030623453	0.00089325587	0.00023278515	5.4724762e-05	1.1701908e-05	2.2923539e-06	4.13964e-07	6.929125e-08	1.0801815e-08	1.574985e-09	2.155945e-10	2.7800229e-11	3.386861e-12	3.9090175e-13	4.2844936e-14	4.469414e-15	4.44603e-16	4.2251962e-17	3.8422577e-18	3.3483235e-19	2.8000296e-20	2.24974e-21	1.7386425e-22	1.2937799e-23	9.278836e-25	6.419197e-26	4.2872283e-27	2.7662572e-28	1.7255735e-29	1.0412486e-30	6.081359e-32	3.4395167e-33	1.8848496e-34	1.0011616e-35	5.1567017e-37	2.5764753e-38	1.249143e-39	5.8786e-41	2.686e-42	1.19e-43	6e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt9	sample_02		2	0.19	0.16	0.22	0.0	0.0	1.139e-42	5.2957637e-32	7.149481e-25	1.1047749e-19	1.0036191e-15	1.2828817e-12	3.8844816e-10	3.8986478e-08	1.6311873e-06	3.3504424e-05	0.00038118317	0.0026324852	0.011849398	0.03677993	0.08237987	0.1381752	0.17896487	0.18364832	0.15258121	0.104551874	0.06002993	0.029279474	0.012277134	0.004471965	0.001428105	0.00040308607	0.00010128283	2.280119e-05	4.6253504e-06	8.498397e-07	1.4207774e-07	2.1703382e-08	3.0406613e-09	3.9204476e-10	4.666259e-11	5.1413877e-12	5.2577105e-13	5.0017482e-14	4.435749e-15	3.6744326e-16	2.8481562e-17	2.0690928e-18	1.4108957e-19	9.042292e-21	5.453819e-22	3.0989792e-23	1.6607196e-24	8.4013255e-26	4.0154203e-27	1.8146679e-28	7.759632e-30	3.1414583e-31	1.2048769e-32	4.38e-34	1.5098403e-35	4.9374063e-37	1.5321584e-38	4.51327e-40	1.2623e-41	3.35e-43	8e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt9	sample_03		2	0.77	0.72	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93e-43	8.4096e-41	2.7748672e-38	7.02768e-36	1.3808865e-33	2.1260875e-31	2.589029e-29	2.5151642e-27	1.9650706e-25	1.24412105e-23	6.4282773e-22	2.7286226e-20	9.57443e-19	2.7934726e-17	6.8140767e-16	1.3968417e-14	2.418089e-13	3.5510794e-12	4.4430064e-11	4.7554466e-10	4.3706923e-09	3.4620573e-08	2.3714347e-07	1.4092108e-06	7.2869752e-06	3.288222e-05	0.00012983757	0.00044974705	0.0013699627	0.0036779207	0.008721481	0.018303905	0.034063917	0.05631465	0.08284186	0.108613946	0.12710567	0.13295278	0.124468565	0.10441796	0.07858703	0.05311788	0.03227642	0.017647471	0.008689402	0.0038562221	0.0015434431	0.0005575328	0.00018186541	5.3599182e-05	1.4278966e-05	3.4398656e-06	7.496034e-07	1.4781189e-07	2.6380174e-08	4.26183e-09	6.233486e-10	8.2549675e-11	9.898345e-12	1.0745817e-12	1.0561431e-13
pt9	sample_01		3	0.62	0.53	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19e-43	6.33987e-40	4.559566e-37	1.7554662e-34	3.9667072e-32	5.6585176e-30	5.4042634e-28	3.6257366e-26	1.7781613e-24	6.590941e-23	1.8991598e-21	4.3577988e-20	8.129248e-19	1.2551461e-17	1.6292636e-16	1.8025784e-15	1.7204993e-14	1.4319382e-13	1.0491766e-12	6.8255115e-12	3.9728675e-11	2.0833099e-10	9.90368e-10	4.292242e-09	1.7047206e-08	6.233635e-08	2.1077096e-07	6.6156304e-07	1.934609e-06	5.2883443e-06	1.3554581e-05	3.266805e-05	7.422897e-05	0.00015940287	0.00032424662	0.00062607555	0.0011497493	0.0020118814	0.0033602184	0.005365314	0.008202329	0.012022829	0.016919015	0.022886712	0.029794725	0.037369676	0.04520351	0.052786607	0.05956232	0.06499715	0.06865133	0.07023794	0.06965958	0.06701576	0.06258171	0.056762286	0.050034773	0.042886812	0.035763968	0.02903046	0.022948608	0.017674454	0.01326814	0.009712253	0.0069349864	0.004832185	0.0032867019	0.0021829272	0.0014161592	0.0008976487	0.00055608427	0.00033676467	0.00019942183	0.000115498646	6.5438646e-05	3.627712e-05	1.968144e-05	1.04516575e-05	5.433616e-06	2.7659082e-06	1.3787736e-06	6.731562e-07	3.2192847e-07	1.5082614e-07	6.923259e-08	3.1138985e-08	1.372449e-08	5.928171e-09	2.5096285e-09	1.0413272e-09	4.2352646e-10
pt9	sample_02		3	0.46	0.39	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2612e-41	5.082529e-37	1.6805764e-33	2.0167138e-30	1.0642281e-27	2.8458963e-25	4.2948813e-23	3.977154e-21	2.414754e-19	1.0140741e-17	3.0770327e-16	6.9948036e-15	1.2278657e-13	1.7075939e-12	1.9229202e-11	1.786646e-10	1.3921215e-09	9.226427e-09	5.266255e-08	2.6171702e-07	1.1435102e-06	4.4306285e-06	1.53412e-05	4.779884e-05	0.00013484654	0.00034638873	0.00081432145	0.0017601207	0.003512577	0.006496973	0.011176965	0.017941523	0.026952533	0.03799503	0.050388165	0.06300966	0.074455105	0.0833004	0.08840177	0.08914101	0.085542485	0.078237064	0.06829075	0.056961518	0.045455627	0.034742262	0.02545898	0.017904056	0.01209422	0.007853844	0.004906839	0.002951563	0.0017105029	0.0009556295	0.0005149986	0.00026785742	0.00013452569	6.5269494e-05	3.060602e-05	1.38760715e-05	6.0848506e-06	2.5816726e-06	1.0601146e-06	4.21432e-07	1.6223126e-07	6.048834e-08	2.1848669e-08	7.64673e-09	2.5935136e-09	8.525562e-10	2.7166197e-10	8.391556e-11	2.5130268e-11	7.296466e-12	2.0540236e-12	5.606355e-13	1.4836674e-13	3.806799e-14	9.469621e-15	2.2836588e-15	5.3385236e-16	1.2096533e-16	2.6564247e-17	5.6530073e-18	1.1655765e-18	2.3281358e-19	4.5040782e-20	8.438155e-21	1.5305126e-21	2.687003e-22	4.5649412e-23	7.502777e-24	1.1926221e-24	1.8328844e-25
pt9	sample_03		3	0.01	0.01	0.02	0.0	0.7208784	0.23133682	0.04126084	0.005744691	0.0006944262	7.641264e-05	7.849115e-06	7.6401335e-07	7.115084e-08	6.3810806e-09	5.5366634e-10	4.6634564e-11	3.8227303e-12	3.055486e-13	2.3849935e-14	1.82015e-15	1.359391e-16	9.943426e-18	7.1275543e-19	5.0091796e-20	3.452947e-21	2.335337e-22	1.5500593e-23	1.0098936e-24	6.459532e-26	4.05662e-27	2.5015658e-28	1.5147946e-29	9.007612e-31	5.2598864e-32	3.0161104e-33	1.6982788e-34	9.3893415e-36	5.0968575e-37	2.7162806e-38	1.421047e-39	7.2974e-41	3.678e-42	1.82e-43	8e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pt9	sample_01		4	0.05	0.02	0.08	0.0	0.017739298	0.10138745	0.18262486	0.20454769	0.17626657	0.12849116	0.08334251	0.04957424	0.027573282	0.014532038	0.007326189	0.0035577123	0.0016730158	0.0007649769	0.00034121107	0.00014885297	6.36466e-05	2.6720058e-05	1.1030142e-05	4.4827098e-06	1.7954359e-06	7.093448e-07	2.7665507e-07	1.06586e-07	4.05878e-08	1.5284193e-08	5.6942415e-09	2.0996265e-09	7.6650375e-10	2.7712785e-10	9.9256874e-11	3.5225593e-11	1.2389899e-11	4.3198314e-12	1.4932469e-12	5.1183135e-13	1.739838e-13	5.865867e-14	1.9617337e-14	6.5083687e-15	2.1422323e-15	6.996028e-16	2.2670188e-16	7.289576e-17	2.3260076e-17	7.365462e-18	2.3146325e-18	7.218865e-19	2.2344498e-19	6.864259e-20	2.0928577e-20	6.333087e-21	1.9020382e-21	5.6695597e-22	1.6772874e-22	4.9247255e-23	1.4350752e-23	4.1502453e-24	1.1911535e-24	3.3927741e-25	9.590004e-26	2.6899615e-26	7.48727e-27	2.0679392e-27	5.6672506e-28	1.541029e-28	4.157508e-29	1.1128057e-29	2.9549925e-30	7.784206e-31	2.0341358e-31	5.2725424e-32	1.3555688e-32	3.456616e-33	8.741494e-34	2.19231e-34	5.452139e-35	1.3444892e-35	3.28733e-36	7.9687786e-37	1.9150035e-37	4.561947e-38	1.0772105e-38	2.521086e-39	5.84746e-40	1.34406e-40	3.0613e-41	6.908e-42	1.544e-42	3.42e-43	7.6e-44	1.7e-44	4e-45	1e-45	0.0	0.0	0.0	0.0	0.0	0.0
